소프트웨어,8.9910
개발,4.6187
공학,5.4497
관리,4.4135
작업,3.0599
요구,3.9898
품질,6.5219
생산,1.8915
방법,2.0469
비용,1.7453
범용,1.5856
계획,1.9447
설계,3.9015
문제,1.3834
지식,2.0882
단계,1.6499
분야,1.2825
하드웨어,1.1516
기술,1.4049
접근,1.1937
처리,1.1761
유지보수,1.0423
도구，,0.9810
자원,1.2653
환경,0.8849
주문형,0.8537
제약,0.9544
활동,1.1146
제품,1.2217
고객의,0.8422
엔지니어링,0.8315
목표,1.6106
영향,0.8769
기초，,0.7538
비즈니스,1.1180
구현,1.6461
크게,0.7029
분석,1.7059
변화,0.6966
사항,1.0791
Unified,3.0422
시스템,2.8763
모댈,2.3167
모델,1.6922
수행,1.4965
변경,3.0318
객체지향,1.7453
폭포수,1.5753
중요한,1.6492
수정,1.8074
기능,2.2494
애자일,1.5313
위험,1.4536
정의,2.0106
예측,1.4896
형상,2.4483
진행,1.2625
전체,1.2455
오류,1.9440
정보,1.4549
짧은,1.0804
테스팅,1.0742
익스트림,1.0708
프로젝트,15.2933
조직,4.3070
리스크,3.3656
점수,2.4214
CPM,2.3624
노력,2.2460
언어,2.0551
모니터링,1.8869
복잡,1.8824
외부,1.8450
초기,1.8415
COCOMO,1.7443
추정,1.4709
시간,1.3574
파일,1.3096
매트릭스,1.2996
범위,1.2979
응용,1.6954
시작,1.2936
인터뷰,2.6642
도메인,2.1125
명세,2.1420
확장,2.0806
이벤트,2.0527
액터,1.8741
추출,1.7817
고객,1.6578
질문,1.6197
관계,1.4677
업무,1.4882
흐름,1.3647
검증,1.2872
동작,1.2570
비기능,1.1171
브레인스토밍,1.0998
조건,1.2161
문서,1.1808
클래스,9.8496
다이어그램,9.7657
객체,6.8221
상태,4.5785
모델링,4.5002
UML,3.9797
액티비티,3.7411
메시지,3.3510
속성,2.2712
유스케이스,2.5701
의미,2.2060
표현,2.3761
동적,1.8200
상호,1.6182
이름,1.8141
개념,1.4074
관점,1.4698
메서드,2.1100
구조를,1.3188
협동,1.2443
호출,1.1963
제어,1.2021
표시,1.1225
인스턴스,1.1468
수강,0.9451
수준,0.9381
원리,5.1429
응집,4.1962
인터페이스,2.8256
데이터,2.8675
결합,2.1035
의존,1.8446
추상화,1.8237
아키텍처,2.4025
분리,1.6282
내부,1.4874
책임,1.4448
단일,1.4417
컴포넌트,1.5112
프로그램,1.4269
분할,1.2793
서비스,1.1709
측정,1.3991
전통적인,1.1091
변수,1.5381
캡슐화,1.0635
결정,1.0618
사례,1.0384
특성,1.0089
패턴,9.1285
디자인,4.0622
클라이언트,3.5950
추상,2.9574
서버,2.6675
스타일,2.5650
아커텍처,2.2535
생성,1.7151
집합,1.6471
메소드,1.4963
해결,1.4450
시나리오,1.4362
유형,1.4338
중심,1.4234
공유,1.4145
통신,1.4072
평가,1.6384
필터,1.2683
UI,7.8026
입력,3.0484
GUI,1.8637
테스트,4.3886
선택,1.4471
박스,1.4623
버튼,1.2527
출력,1.8534
멘탈,1.2274
항목,1.3442
명령,1.1499
기억,1.0898
작동,1.0419
인식,1.0337
페이지,1.0213
잘못,0.9566
일관성,0.9350
쉬운,0.9228
메뉴,0.9180
피드백,0.9151
데이터를,0.9101
조작,0.8769
코드,6.9842
코딩,6.8199
리팩토링,2.3659
태스트,3.6358
주석,2.0180
실행,1.8271
단위,1.7830
문장,1.7980
인스펙션,1.5221
선언,1.1148
함수,1.0112
발생,0.9879
읽기,0.9204
버퍼,0.9192
규칙,2.6131
표준,1.3945
케이스,4.0981
통합,3.6134
시험,2.5495
경로,1.9025
결함,1.8529
동등,1.8734
분기,1.7390
논리,2.7041
블랙박스,1.6259
도구,1.4870
성능,1.5696
인수,1.5398
티켓,1.5096
화이트박스,1.3950
환경에서,1.3415
커버,1.3233
정상,1.2247
유지,6.5937
개선,2.6359
역공학,1.6837
법칙,1.3425
운영,1.3424
리엔지니어링,1.2860
시험，,1.2340
버전,1.1306
보수,1.1203
목적,1.0700
보증,3.6829
메트,2.7248
CMMi,1.9600
목표를,1.8647
레벨,1.6817
복잡도,1.6042
필요한,1.3871
클수록,1.2142
회의,1.2049
정량적인,1.1891
탐색,6.6998
노드,4.8842
연산자,5.1247
리스트,3.9954
자식,3.3057
A*,2.7147
미니맥스,4.3562
알고리즘,2.6398
트리,1.7131
인공지능,1.6732
최선의,1.4128
보드,1.3474
전문가,8.6511
추론,5.4153
사실,5.5718
IF,5.3642
THEN,4.5853
단기,3.2636
부분,2.2305
술어,7.4473
명제,4.1280
프레임,3.1030
존재,2.3357
전칭,2.2816
선형,4.7023
손실,4.0904
회귀,4.4536
경사,3.3336
데이,2.5114
학습,3.3336
직선,1.7539
기울,1.3245
kNN,5.0227
K-means,4.1273
파란색,2.3621
2개의,1.6972
클러스터,1.6485
k개의,1.5472
우리는,1.9672
가중,3.8113
퍼셉트론,2.9614
신경망,3.6655
XOR,2.5766
인공,2.4975
신호,2.3271
뉴런,2.1859
계산,3.0774
역전파,2.6331
활성화,2.3917
가중치를,2.2937
오차를,2.0975
교차,4.0128
많이,2.8120
훈련,2.6552
소멸,2.3053
컨볼루션,6.2288
영상,3.8584
계층,2.6889
model,2.6327
특정,2.4564
이미지,2.3963
풀링,2.3211
